	G_intestinali_aa	G_muris_aa	G_salmonicida_aa
OG0003990	KAE8303687.1		
OG0003991	KAE8303691.1		
OG0003992	KAE8303693.1		
OG0003993	KAE8303695.1		
OG0003994	KAE8303700.1		
OG0003995	KAE8303715.1		
OG0003996	KAE8303718.1		
OG0003997	KAE8303719.1		
OG0003998	KAE8303721.1		
OG0003999	KAE8303722.1		
OG0004000	KAE8303723.1		
OG0004001	KAE8303727.1		
OG0004002	KAE8303742.1		
OG0004003	KAE8303757.1		
OG0004004	KAE8303760.1		
OG0004005	KAE8303767.1		
OG0004006	KAE8303772.1		
OG0004007	KAE8303774.1		
OG0004008	KAE8303775.1		
OG0004009	KAE8303776.1		
OG0004010	KAE8303780.1		
OG0004011	KAE8303783.1		
OG0004012	KAE8303784.1		
OG0004013	KAE8303791.1		
OG0004014	KAE8303793.1		
OG0004015	KAE8303800.1		
OG0004016	KAE8303802.1		
OG0004017	KAE8303811.1		
OG0004018	KAE8303817.1		
OG0004019	KAE8303820.1		
OG0004020	KAE8303830.1		
OG0004021	KAE8303835.1		
OG0004022	KAE8303841.1		
OG0004023	KAE8303844.1		
OG0004024	KAE8303845.1		
OG0004025	KAE8303848.1		
OG0004026	KAE8303866.1		
OG0004027	KAE8303874.1		
OG0004028	KAE8303878.1		
OG0004029	KAE8303881.1		
OG0004030	KAE8303884.1		
OG0004031	KAE8303901.1		
OG0004032	KAE8303915.1		
OG0004033	KAE8303917.1		
OG0004034	KAE8303920.1		
OG0004035	KAE8303938.1		
OG0004036	KAE8303954.1		
OG0004037	KAE8303964.1		
OG0004038	KAE8303967.1		
OG0004039	KAE8303984.1		
OG0004040	KAE8303986.1		
OG0004041	KAE8303987.1		
OG0004042	KAE8303991.1		
OG0004043	KAE8303994.1		
OG0004044	KAE8304014.1		
OG0004045	KAE8304015.1		
OG0004046	KAE8304018.1		
OG0004047	KAE8304030.1		
OG0004048	KAE8304032.1		
OG0004049	KAE8304034.1		
OG0004050	KAE8304035.1		
OG0004051	KAE8304038.1		
OG0004052	KAE8304042.1		
OG0004053	KAE8304055.1		
OG0004054	KAE8304056.1		
OG0004055	KAE8304058.1		
OG0004056	KAE8304063.1		
OG0004057	KAE8304067.1		
OG0004058	KAE8304068.1		
OG0004059	KAE8304087.1		
OG0004060	KAE8304094.1		
OG0004061	KAE8304101.1		
OG0004062	KAE8304106.1		
OG0004063	KAE8304108.1		
OG0004064	KAE8304117.1		
OG0004065	KAE8304128.1		
OG0004066	KAE8304129.1		
OG0004067	KAE8304151.1		
OG0004068	KAE8304154.1		
OG0004069	KAE8304156.1		
OG0004070	KAE8304180.1		
OG0004071	KAE8304202.1		
OG0004072	KAE8304210.1		
OG0004073	KAE8304226.1		
OG0004074	KAE8304229.1		
OG0004075	KAE8304249.1		
OG0004076	KAE8304254.1		
OG0004077	KAE8304263.1		
OG0004078	KAE8304268.1		
OG0004079	KAE8304271.1		
OG0004080	KAE8304279.1		
OG0004081	KAE8304288.1		
OG0004082	KAE8304290.1		
OG0004083	KAE8304291.1		
OG0004084	KAE8304293.1		
OG0004085	KAE8304295.1		
OG0004086	KAE8304298.1		
OG0004087	KAE8304302.1		
OG0004088	KAE8304310.1		
OG0004089	KAE8304332.1		
OG0004090	KAE8304333.1		
OG0004091	KAE8304338.1		
OG0004092	KAE8304356.1		
OG0004093	KAE8304359.1		
OG0004094	KAE8304363.1		
OG0004095	KAE8304389.1		
OG0004096	KAE8304394.1		
OG0004097	KAE8304406.1		
OG0004098	KAE8304409.1		
OG0004099	KAE8304427.1		
OG0004100	KAE8304434.1		
OG0004101	KAE8304440.1		
OG0004102	KAE8304445.1		
OG0004103	KAE8304455.1		
OG0004104	KAE8304461.1		
OG0004105	KAE8304471.1		
OG0004106	KAE8304472.1		
OG0004107	KAE8304479.1		
OG0004108	KAE8304495.1		
OG0004109	KAE8304511.1		
OG0004110	KAE8304514.1		
OG0004111	KAE8304519.1		
OG0004112	KAE8304521.1		
OG0004113	KAE8304522.1		
OG0004114	KAE8304523.1		
OG0004115	KAE8304527.1		
OG0004116	KAE8304534.1		
OG0004117	KAE8304535.1		
OG0004118	KAE8304542.1		
OG0004119	KAE8304544.1		
OG0004120	KAE8304547.1		
OG0004121	KAE8304559.1		
OG0004122	KAE8304565.1		
OG0004123	KAE8304585.1		
OG0004124	KAE8304594.1		
OG0004125	KAE8304601.1		
OG0004126	KAE8304622.1		
OG0004127	KAE8304627.1		
OG0004128	KAE8304647.1		
OG0004129	KAE8304648.1		
OG0004130	KAE8304650.1		
OG0004131	KAE8304654.1		
OG0004132	KAE8304655.1		
OG0004133	KAE8304677.1		
OG0004134	KAE8304685.1		
OG0004135	KAE8304686.1		
OG0004136	KAE8304692.1		
OG0004137	KAE8304703.1		
OG0004138	KAE8304725.1		
OG0004139	KAE8304726.1		
OG0004140	KAE8304728.1		
OG0004141	KAE8304743.1		
OG0004142	KAE8304774.1		
OG0004143	KAE8304779.1		
OG0004144	KAE8304780.1		
OG0004145	KAE8304782.1		
OG0004146	KAE8304794.1		
OG0004147	KAE8304796.1		
OG0004148	KAE8304797.1		
OG0004149	KAE8304799.1		
OG0004150	KAE8304809.1		
OG0004151	KAE8304817.1		
OG0004152	KAE8304818.1		
OG0004153	KAE8304830.1		
OG0004154	KAE8304840.1		
OG0004155	KAE8304845.1		
OG0004156	KAE8304848.1		
OG0004157	KAE8304849.1		
OG0004158	KAE8304856.1		
OG0004159	KAE8304859.1		
OG0004160	KAE8304862.1		
OG0004161	KAE8304863.1		
OG0004162	KAE8304870.1		
OG0004163	KAE8304874.1		
OG0004164	KAE8304886.1		
OG0004165	KAE8304891.1		
OG0004166	KAE8304893.1		
OG0004167	KAE8304894.1		
OG0004168	KAE8304895.1		
OG0004169	KAE8304899.1		
OG0004170	KAE8304908.1		
OG0004171	KAE8304909.1		
OG0004172	KAE8304919.1		
OG0004173	KAE8304925.1		
OG0004174	KAE8304929.1		
OG0004175	KAE8304934.1		
OG0004176	KAE8304935.1		
OG0004177	KAE8304936.1		
OG0004178	KAE8304943.1		
OG0004179	KAE8304951.1		
OG0004180	KAE8304956.1		
OG0004181	KAE8304963.1		
OG0004182	KAE8304972.1		
OG0004183	KAE8304977.1		
OG0004184	KAE8304988.1		
OG0004185	KAE8304999.1		
OG0004186	KAE8305001.1		
OG0004187	KAE8305009.1		
OG0004188	KAE8305012.1		
OG0004189	KAE8305038.1		
OG0004190	KAE8305039.1		
OG0004191	KAE8305040.1		
OG0004192	KAE8305043.1		
OG0004193	KAE8305056.1		
OG0004194	KAE8305058.1		
OG0004195	KAE8305068.1		
OG0004196	KAE8305085.1		
OG0004197	KAE8305089.1		
OG0004198	KAE8305090.1		
OG0004199	KAE8305093.1		
OG0004200	KAE8305094.1		
OG0004201	KAE8305101.1		
OG0004202	KAE8305110.1		
OG0004203	KAE8305111.1		
OG0004204	KAE8305117.1		
OG0004205	KAE8305118.1		
OG0004206	KAE8305119.1		
OG0004207	KAE8305132.1		
OG0004208	KAE8305133.1		
OG0004209	KAE8305134.1		
OG0004210	KAE8305135.1		
OG0004211	KAE8305143.1		
OG0004212	KAE8305155.1		
OG0004213	KAE8305170.1		
OG0004214	KAE8305171.1		
OG0004215	KAE8305180.1		
OG0004216	KAE8305183.1		
OG0004217	KAE8305188.1		
OG0004218	KAE8305193.1		
OG0004219	KAE8305195.1		
OG0004220	KAE8305210.1		
OG0004221	KAE8305217.1		
OG0004222	KAE8305221.1		
OG0004223	KAE8305248.1		
OG0004224	KAE8305249.1		
OG0004225	KAE8305250.1		
OG0004226	KAE8305282.1		
OG0004227	KAE8305286.1		
OG0004228	KAE8305288.1		
OG0004229	KAE8305293.1		
OG0004230	KAE8305308.1		
OG0004231	KAE8305310.1		
OG0004232	KAE8305318.1		
OG0004233	KAE8305322.1		
OG0004234	KAE8305323.1		
OG0004235	KAE8305328.1		
OG0004236	KAE8305329.1		
OG0004237	KAE8305337.1		
OG0004238	KAE8305339.1		
OG0004239	KAE8305348.1		
OG0004240	KAE8305352.1		
OG0004241	KAE8305364.1		
OG0004242	KAE8305371.1		
OG0004243	KAE8305373.1		
OG0004244	KAE8305381.1		
OG0004245	KAE8305383.1		
OG0004246	KAE8305385.1		
OG0004247	KAE8305391.1		
OG0004248	KAE8305395.1		
OG0004249	KAE8305436.1		
OG0004250	KAE8305438.1		
OG0004251	KAE8305445.1		
OG0004252	KAE8305446.1		
OG0004253	KAE8305456.1		
OG0004254	KAE8305457.1		
OG0004255	KAE8305465.1		
OG0004256	KAE8305466.1		
OG0004257	KAE8305477.1		
OG0004258	KAE8305481.1		
OG0004259	KAE8305482.1		
OG0004260	KAE8305487.1		
OG0004261	KAE8305509.1		
OG0004262	KAE8305512.1		
OG0004263	KAE8305513.1		
OG0004264	KAE8305515.1		
OG0004265	KAE8305532.1		
OG0004266	KAE8305535.1		
OG0004267	KAE8305546.1		
OG0004268	KAE8305553.1		
OG0004269	KAE8305563.1		
OG0004270	KAE8305566.1		
OG0004271	KAE8305568.1		
OG0004272	KAE8305571.1		
OG0004273	KAE8305593.1		
OG0004274	KAE8305602.1		
OG0004275	KAE8305603.1		
OG0004276	KAE8305604.1		
OG0004277	KAE8305618.1		
OG0004278	KAE8305624.1		
OG0004279	KAE8305645.1		
OG0004280	KAE8305649.1		
OG0004281	KAE8305654.1		
OG0004282	KAE8305658.1		
OG0004283	KAE8305663.1		
OG0004284	KAE8305664.1		
OG0004285	KAE8305669.1		
OG0004286	KAE8305676.1		
OG0004287	KAE8305677.1		
OG0004288	KAE8305685.1		
OG0004289	KAE8305686.1		
OG0004290	KAE8305687.1		
OG0004291	KAE8305688.1		
OG0004292	KAE8305689.1		
OG0004293	KAE8305690.1		
OG0004294	KAE8305691.1		
OG0004295	KAE8305693.1		
OG0004296	KAE8305694.1		
OG0004297	KAE8305695.1		
OG0004298	KAE8305696.1		
OG0004299	KAE8305697.1		
OG0004300	KAE8305698.1		
OG0004301	KAE8305699.1		
OG0004302	KAE8305700.1		
OG0004303	KAE8305701.1		
OG0004304	KAE8305702.1		
OG0004305	KAE8305703.1		
OG0004306	KAE8305706.1		
OG0004307	KAE8305709.1		
OG0004308	KAE8305710.1		
OG0004309	KAE8305711.1		
OG0004310	KAE8305714.1		
OG0004311	KAE8305720.1		
OG0004312	KAE8305722.1		
OG0004313	KAE8305723.1		
OG0004314	KAE8305728.1		
OG0004315	KAE8305735.1		
OG0004316	KAE8305763.1		
OG0004317	KAE8305770.1		
OG0004318	KAE8305778.1		
OG0004319	KAE8305781.1		
OG0004320	KAE8305790.1		
OG0004321	KAE8305795.1		
OG0004322	KAE8305796.1		
OG0004323	KAE8305806.1		
OG0004324	KAE8305809.1		
OG0004325	KAE8305812.1		
OG0004326	KAE8305813.1		
OG0004327	KAE8305814.1		
OG0004328	KAE8305815.1		
OG0004329	KAE8305816.1		
OG0004330	KAE8305843.1		
OG0004331	KAE8305844.1		
OG0004332	KAE8305850.1		
OG0004333	KAE8305858.1		
OG0004334	KAE8305861.1		
OG0004335	KAE8305874.1		
OG0004336	KAE8305880.1		
OG0004337	KAE8305884.1		
OG0004338	KAE8305885.1		
OG0004339	KAE8305887.1		
OG0004340	KAE8305892.1		
OG0004341	KAE8305893.1		
OG0004342	KAE8305900.1		
OG0004343	KAE8305956.1		
OG0004344	KAE8305957.1		
OG0004345	KAE8305960.1		
OG0004346	KAE8305994.1		
OG0004347	KAE8305995.1		
OG0004348	KAE8306014.1		
OG0004349	KAE8306021.1		
OG0004350	KAE8306030.1		
OG0004351	KAE8306037.1		
OG0004352	KAE8306040.1		
OG0004353	KAE8306041.1		
OG0004354	KAE8306043.1		
OG0004355	KAE8306044.1		
OG0004356	KAE8306047.1		
OG0004357	KAE8306051.1		
OG0004358	KAE8306052.1		
OG0004359	KAE8306061.1		
OG0004360	KAE8306064.1		
OG0004361	KAE8306082.1		
OG0004362	KAE8306087.1		
OG0004363	KAE8306089.1		
OG0004364	KAE8306091.1		
OG0004365	KAE8306096.1		
OG0004366	KAE8306109.1		
OG0004367	KAE8306110.1		
OG0004368	KAE8306112.1		
OG0004369	KAE8306121.1		
OG0004370	KAE8306129.1		
OG0004371	KAE8306130.1		
OG0004372	KAE8306144.1		
OG0004373	KAE8306147.1		
OG0004374		TNJ26101.1	
OG0004375		TNJ26102.1	
OG0004376		TNJ26103.1	
OG0004377		TNJ26104.1	
OG0004378		TNJ26105.1	
OG0004379		TNJ26107.1	
OG0004380		TNJ26108.1	
OG0004381		TNJ26113.1	
OG0004382		TNJ26115.1	
OG0004383		TNJ26116.1	
OG0004384		TNJ26117.1	
OG0004385		TNJ26118.1	
OG0004386		TNJ26119.1	
OG0004387		TNJ26120.1	
OG0004388		TNJ26121.1	
OG0004389		TNJ26122.1	
OG0004390		TNJ26123.1	
OG0004391		TNJ26124.1	
OG0004392		TNJ26125.1	
OG0004393		TNJ26126.1	
OG0004394		TNJ26127.1	
OG0004395		TNJ26129.1	
OG0004396		TNJ26130.1	
OG0004397		TNJ26131.1	
OG0004398		TNJ26132.1	
OG0004399		TNJ26134.1	
OG0004400		TNJ26135.1	
OG0004401		TNJ26138.1	
OG0004402		TNJ26139.1	
OG0004403		TNJ26146.1	
OG0004404		TNJ26148.1	
OG0004405		TNJ26154.1	
OG0004406		TNJ26155.1	
OG0004407		TNJ26156.1	
OG0004408		TNJ26157.1	
OG0004409		TNJ26158.1	
OG0004410		TNJ26159.1	
OG0004411		TNJ26162.1	
OG0004412		TNJ26163.1	
OG0004413		TNJ26165.1	
OG0004414		TNJ26166.1	
OG0004415		TNJ26186.1	
OG0004416		TNJ26189.1	
OG0004417		TNJ26190.1	
OG0004418		TNJ26194.1	
OG0004419		TNJ26195.1	
OG0004420		TNJ26196.1	
OG0004421		TNJ26197.1	
OG0004422		TNJ26201.1	
OG0004423		TNJ26202.1	
OG0004424		TNJ26210.1	
OG0004425		TNJ26214.1	
OG0004426		TNJ26218.1	
OG0004427		TNJ26238.1	
OG0004428		TNJ26241.1	
OG0004429		TNJ26242.1	
OG0004430		TNJ26243.1	
OG0004431		TNJ26270.1	
OG0004432		TNJ26286.1	
OG0004433		TNJ26289.1	
OG0004434		TNJ26291.1	
OG0004435		TNJ26317.1	
OG0004436		TNJ26337.1	
OG0004437		TNJ26359.1	
OG0004438		TNJ26395.1	
OG0004439		TNJ26398.1	
OG0004440		TNJ26405.1	
OG0004441		TNJ26412.1	
OG0004442		TNJ26415.1	
OG0004443		TNJ26456.1	
OG0004444		TNJ26457.1	
OG0004445		TNJ26458.1	
OG0004446		TNJ26460.1	
OG0004447		TNJ26462.1	
OG0004448		TNJ26463.1	
OG0004449		TNJ26464.1	
OG0004450		TNJ26493.1	
OG0004451		TNJ26494.1	
OG0004452		TNJ26533.1	
OG0004453		TNJ26543.1	
OG0004454		TNJ26546.1	
OG0004455		TNJ26563.1	
OG0004456		TNJ26568.1	
OG0004457		TNJ26573.1	
OG0004458		TNJ26582.1	
OG0004459		TNJ26587.1	
OG0004460		TNJ26589.1	
OG0004461		TNJ26598.1	
OG0004462		TNJ26609.1	
OG0004463		TNJ26621.1	
OG0004464		TNJ26622.1	
OG0004465		TNJ26623.1	
OG0004466		TNJ26624.1	
OG0004467		TNJ26638.1	
OG0004468		TNJ26650.1	
OG0004469		TNJ26681.1	
OG0004470		TNJ26690.1	
OG0004471		TNJ26698.1	
OG0004472		TNJ26699.1	
OG0004473		TNJ26700.1	
OG0004474		TNJ26717.1	
OG0004475		TNJ26718.1	
OG0004476		TNJ26725.1	
OG0004477		TNJ26738.1	
OG0004478		TNJ26740.1	
OG0004479		TNJ26753.1	
OG0004480		TNJ26757.1	
OG0004481		TNJ26790.1	
OG0004482		TNJ26793.1	
OG0004483		TNJ26794.1	
OG0004484		TNJ26795.1	
OG0004485		TNJ26797.1	
OG0004486		TNJ26812.1	
OG0004487		TNJ26850.1	
OG0004488		TNJ26851.1	
OG0004489		TNJ26853.1	
OG0004490		TNJ26861.1	
OG0004491		TNJ26882.1	
OG0004492		TNJ26906.1	
OG0004493		TNJ26919.1	
OG0004494		TNJ26930.1	
OG0004495		TNJ26931.1	
OG0004496		TNJ26932.1	
OG0004497		TNJ26933.1	
OG0004498		TNJ26943.1	
OG0004499		TNJ26944.1	
OG0004500		TNJ26964.1	
OG0004501		TNJ26965.1	
OG0004502		TNJ26975.1	
OG0004503		TNJ26976.1	
OG0004504		TNJ26987.1	
OG0004505		TNJ26988.1	
OG0004506		TNJ26989.1	
OG0004507		TNJ26995.1	
OG0004508		TNJ27019.1	
OG0004509		TNJ27021.1	
OG0004510		TNJ27033.1	
OG0004511		TNJ27037.1	
OG0004512		TNJ27038.1	
OG0004513		TNJ27046.1	
OG0004514		TNJ27048.1	
OG0004515		TNJ27059.1	
